BLOCK HEIGHT | TX KIND  | AMOUNT           | TX ID                                | EXIT CODE    | VALIDATOR 
324054       | bond     | 90.370742        | 86a4966e...dbf32fc7                  | applied      | tnam1q8l...wvav4amt
317138       | claimRewards | -                | f989849c...c23a29ef                  | applied      | tnam1q8l...wvav4amt
317138       | bond     | 45.192290        | 83336f56...49a3f4c1                  | applied      | tnam1q8l...wvav4amt
312919       | bond     | 45.182541        | c98dfcd5...0724e102                  | applied      | tnam1q8l...wvav4amt
312919       | claimRewards | -                | 195044d4...ee54b152                  | applied      | tnam1q8l...wvav4amt
311631       | bond     | 135.505783       | f110955a...ed4e77c4                  | applied      | tnam1q8l...wvav4amt
311631       | claimRewards | -                | 593a4831...49f749ab                  | applied      | tnam1q8l...wvav4amt
300257       | claimRewards | -                | 7f471f03...f70518e3                  | applied      | tnam1q8l...wvav4amt
300257       | bond     | 45.142906        | 3421f799...68601486                  | applied      | tnam1q8l...wvav4amt
298849       | claimRewards | -                | 6ae10fce...9c05eeb5                  | applied      | tnam1q8l...wvav4amt
298849       | bond     | 90.222138        | 0f361583...fcde9542                  | applied      | tnam1q8l...wvav4amt
293587       | bond     | 45.083837        | 209e2c0a...c5b8f8d1                  | applied      | tnam1q8l...wvav4amt
293587       | claimRewards | -                | ec881cb8...6b09c575                  | applied      | tnam1q8l...wvav4amt
287763       | bond     | 46.387573        | fba29803...61b77866                  | applied      | tnam1q8l...wvav4amt
287763       | claimRewards | -                | f32811a9...349138d5                  | applied      | tnam1q8l...wvav4amt
286534       | bond     | 92.742865        | 431ad62a...1f260bbe                  | applied      | tnam1q8l...wvav4amt
286534       | claimRewards | -                | a15fc543...bbe1430a                  | applied      | tnam1q8l...wvav4amt
278451       | claimRewards | -                | 402f4cb4...9739b084                  | applied      | tnam1q8l...wvav4amt
278451       | bond     | 46.254208        | dac71aa5...bed1c9b0                  | applied      | tnam1q8l...wvav4amt
276399       | claimRewards | -                | c026c247...34158a44                  | applied      | tnam1q8l...wvav4amt
276399       | bond     | 46.280223        | 8ccac679...2e5a4f94                  | applied      | tnam1q8l...wvav4amt
